niche,rating,review_count,website_missing,has_phone,has_description,name_token_count,address_completeness,proxy_score,worth_outreach,label_source
home services,4.7,11,0,1,1,4,0.9298992307797351,3.6,1,proxy:v1-sales-heuristic-2026-09
health care,4.42,39,0,1,1,4,0.9773272676869106,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.82,1530,0,1,0,4,0.7068461433531397,0.7000000000000002,0,proxy:v1-sales-heuristic-2026-09
automotive,4.66,4,0,1,1,6,0.8701454058538822,3.0,0,proxy:v1-sales-heuristic-2026-09
fitness,4.99,3,0,1,0,6,0.6581163351999312,2.2,0,proxy:v1-sales-heuristic-2026-09
home services,4.35,39,0,1,0,5,0.7899170049320322,3.6,1,proxy:v1-sales-heuristic-2026-09
health care,4.65,10,1,1,0,1,0.8408656960725766,6.6,1,proxy:v1-sales-heuristic-2026-09
legal services,3.98,34,1,1,0,1,0.7111015192526786,6.6,1,proxy:v1-sales-heuristic-2026-09
fitness,3.82,57,0,1,1,1,0.6292886733591604,3.6,1,proxy:v1-sales-heuristic-2026-09
health care,5.0,6,0,1,0,4,0.8509194828504562,2.2,0,proxy:v1-sales-heuristic-2026-09
health care,4.27,5,1,1,1,5,0.9940665561173215,6.0,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.59,154,0,1,0,5,0.7758027808783474,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.22,36,0,1,0,1,0.5628882269038695,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,3.83,15,0,1,0,2,0.9750191082287673,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.16,8,0,0,0,3,0.8808837309247408,2.4,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.94,13,0,1,1,4,0.7264521254307148,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
local service business,4.46,6,1,1,0,1,0.6205402732756277,5.0,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.21,64,1,1,0,6,0.7381135604377032,6.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.03,10,0,1,1,1,0.888363364754904,3.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,5.0,81,0,1,1,4,0.8698114320054209,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.03,15,0,1,0,6,0.8080999405041533,3.6,1,proxy:v1-sales-heuristic-2026-09
fitness,3.16,7,1,1,0,2,0.7450887665139825,5.2,1,proxy:v1-sales-heuristic-2026-09
health care,5.0,15,0,1,1,5,0.9028141461357275,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
local service business,4.53,1,0,1,1,4,0.4701621279423623,2.0,0,proxy:v1-sales-heuristic-2026-09
fitness,4.11,21,0,1,0,5,0.9489565589543961,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,3.95,20,0,1,0,4,0.6955571583773817,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.75,60,1,1,0,6,0.5596739038502058,4.8,1,proxy:v1-sales-heuristic-2026-09
automotive,3.85,2215,0,0,1,3,0.749071013686068,0.30000000000000004,1,proxy:v1-sales-heuristic-2026-09
automotive,4.78,88,1,1,0,1,0.7382886277247324,5.8,1,proxy:v1-sales-heuristic-2026-09
automotive,4.45,60,0,1,0,5,0.9066782773472493,3.6,1,proxy:v1-sales-heuristic-2026-09
pets,4.28,97,0,0,0,6,0.7973495201842415,2.4,0,proxy:v1-sales-heuristic-2026-09
home services,4.23,23,0,0,0,3,0.7566755750983729,2.4,0,proxy:v1-sales-heuristic-2026-09
automotive,4.05,74,0,1,0,5,0.9097028549852506,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,4.73,4,0,1,0,6,0.9390984021016089,2.2,1,proxy:v1-sales-heuristic-2026-09
automotive,3.67,1365,0,1,1,4,0.7160329936205789,1.5,0,proxy:v1-sales-heuristic-2026-09
pets,3.26,10,0,1,1,5,0.5785776875269828,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,4.49,3,0,1,1,4,0.9018109444404279,3.0,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.5,7,0,1,1,5,0.5722724733792081,3.0,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.41,24,0,1,0,3,0.451518510384139,3.6,1,proxy:v1-sales-heuristic-2026-09
fitness,4.37,9,1,1,1,4,0.7908428600855284,6.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,3.97,37,0,1,0,1,0.9658345035653139,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.58,3,1,1,1,2,0.8083450348035522,6.0,1,proxy:v1-sales-heuristic-2026-09
automotive,4.12,2,1,1,0,4,0.666285690267469,6.0,1,proxy:v1-sales-heuristic-2026-09
local service business,3.88,111,0,1,0,5,0.9841358578564596,2.6,0,proxy:v1-sales-heuristic-2026-09
local service business,3.98,66,0,0,1,1,0.9203995396188613,1.4,0,proxy:v1-sales-heuristic-2026-09
pets,5.0,7,0,0,0,1,0.7778481716214718,1.0,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.2,24,0,1,0,1,0.6961731971596096,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.42,75,0,1,0,4,0.5733063860342126,2.6,0,proxy:v1-sales-heuristic-2026-09
local service business,3.23,38,0,0,0,3,0.7785409096348738,1.4,0,proxy:v1-sales-heuristic-2026-09
pets,4.09,28,0,0,0,1,0.612542995847764,2.4,0,proxy:v1-sales-heuristic-2026-09
home services,3.91,81,0,0,0,5,0.7404945701198536,2.4,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.0,10,0,1,0,4,0.8278792762033114,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
automotive,4.36,25,0,1,1,1,0.8542421141895294,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.94,24,0,1,1,5,0.842477722614311,2.6,0,proxy:v1-sales-heuristic-2026-09
home services,3.0,18,0,1,0,6,0.6586827278471898,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.61,15,0,1,0,3,0.544759312943872,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.94,26,1,1,0,6,0.7177270735952778,5.8,1,proxy:v1-sales-heuristic-2026-09
health care,4.97,25,1,1,0,3,0.5476231772751484,5.8,1,proxy:v1-sales-heuristic-2026-09
automotive,4.35,7,0,1,0,1,0.41662436217263654,3.0,0,proxy:v1-sales-heuristic-2026-09
local service business,4.18,59,1,1,1,1,0.6597810410379893,5.6,1,proxy:v1-sales-heuristic-2026-09
legal services,4.88,8,0,1,0,1,0.45887812146756357,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
pets,5.0,19,0,1,0,2,0.3339245974163729,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
home services,4.77,17,0,1,0,3,0.9502653408192318,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
fitness,3.63,36,0,0,1,3,0.5963948123954304,2.4,0,proxy:v1-sales-heuristic-2026-09
health care,4.26,2,0,1,1,3,0.8049072745861524,3.0,0,proxy:v1-sales-heuristic-2026-09
fitness,4.39,65,1,1,0,6,0.8558750763857478,6.6,1,proxy:v1-sales-heuristic-2026-09
automotive,3.15,11,1,1,0,1,0.9177834944899057,5.8,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.41,93,0,1,0,6,0.6098614437748404,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,5.0,14,0,1,1,2,0.8774680398456103,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
home services,4.5,1209,0,1,0,6,0.9667260683891616,1.5,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.96,201,0,1,0,1,0.9377611602341354,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
automotive,4.25,18,0,1,0,1,0.6406813690513171,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.11,95,1,0,0,1,0.9653938411266083,5.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
health care,4.36,25,0,1,0,2,0.9333186185810538,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,3.7,38,1,1,0,6,0.8636161067741701,6.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.62,26,0,1,0,3,0.639013745211622,2.6,0,proxy:v1-sales-heuristic-2026-09
health care,4.85,62,0,1,0,1,0.7342397433525247,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.9,1508,0,0,1,4,0.9063914079175148,-1.5,0,proxy:v1-sales-heuristic-2026-09
health care,3.6,8,0,1,0,4,0.9205805131096387,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.68,12,0,1,0,5,0.8582440832902991,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.1,27,0,1,0,5,0.5181487388379734,2.6,0,proxy:v1-sales-heuristic-2026-09
home services,4.34,19,0,0,0,5,0.897753968528644,2.4,0,proxy:v1-sales-heuristic-2026-09
local service business,4.4,2732,0,1,0,1,0.6031671123203647,-0.30000000000000004,0,proxy:v1-sales-heuristic-2026-09
automotive,4.7,103,0,1,1,3,0.6605489024416439,3.6,0,proxy:v1-sales-heuristic-2026-09
home services,4.2,8,0,1,1,4,0.9602261291512958,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,4.93,10,0,1,1,4,0.6638802834481704,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
local service business,4.32,5,0,1,1,6,0.717908737663254,2.0,0,proxy:v1-sales-heuristic-2026-09
health care,4.49,228,0,1,1,6,0.8700625834261504,3.6,1,proxy:v1-sales-heuristic-2026-09
home services,3.69,34,1,1,0,5,0.838183801000877,6.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,5.0,41,0,1,1,2,0.8685813696687449,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.41,5,0,1,0,4,0.9167396992152302,3.0,0,proxy:v1-sales-heuristic-2026-09
home services,4.54,24,1,1,0,5,0.9336684397607669,6.6,1,proxy:v1-sales-heuristic-2026-09
home services,3.27,42,0,1,1,2,0.8396027111630083,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,3.7,18,1,1,0,5,0.9440213068618382,6.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.83,80,1,1,0,2,0.7765688833374511,4.8,1,proxy:v1-sales-heuristic-2026-09
local service business,4.31,312,0,1,0,1,0.44273079829931195,1.2,0,proxy:v1-sales-heuristic-2026-09
automotive,3.1,8,1,1,0,2,0.8479267334296505,5.8,1,proxy:v1-sales-heuristic-2026-09
health care,4.72,7,1,0,0,6,0.9711735137317771,4.0,1,proxy:v1-sales-heuristic-2026-09
automotive,3.85,9,0,1,1,6,0.7113927774228515,3.6,0,proxy:v1-sales-heuristic-2026-09
fitness,4.93,143,0,1,0,6,0.5424448992303466,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.1,77,1,1,1,2,0.912583953402886,6.6,1,proxy:v1-sales-heuristic-2026-09
fitness,4.26,21,0,1,0,5,0.7795968702607277,3.6,1,proxy:v1-sales-heuristic-2026-09
pets,4.8,25,0,1,1,2,0.6874111775353039,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
legal services,3.66,9,1,1,0,1,0.8051712122107288,6.6,1,proxy:v1-sales-heuristic-2026-09
automotive,3.6,65,1,1,0,2,0.7848153336100544,6.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.04,16,0,1,1,1,0.5216978523489761,2.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.6,18,0,0,1,4,0.7407961213684529,2.4,0,proxy:v1-sales-heuristic-2026-09
automotive,3.42,47,0,1,1,5,0.305220457844949,3.6,1,proxy:v1-sales-heuristic-2026-09
health care,3.23,19,0,0,0,1,0.9159054409575098,2.4,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.6,18,0,1,0,1,0.7026360581679284,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.82,24,0,0,1,3,0.932812409271169,1.4,0,proxy:v1-sales-heuristic-2026-09
local service business,3.93,58,1,1,0,1,0.8701479715676841,5.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,3.13,150,0,0,1,5,0.8885185234597475,1.6,0,proxy:v1-sales-heuristic-2026-09
local service business,3.78,46,0,1,0,3,0.8197093693602341,2.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.15,59,1,1,0,3,0.8064633385498982,6.6,1,proxy:v1-sales-heuristic-2026-09
home services,4.66,19,0,1,0,1,0.7911684360034478,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.73,11,0,1,0,5,0.6217723677646868,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,5.0,50,0,1,1,5,0.980161578094205,1.7999999999999998,0,proxy:v1-sales-heuristic-2026-09
automotive,3.77,29,0,0,1,5,0.49155070680692103,2.4,0,proxy:v1-sales-heuristic-2026-09
automotive,3.77,5,0,1,0,4,0.6066208876444144,3.0,0,proxy:v1-sales-heuristic-2026-09
home services,5.0,17,1,1,1,2,0.534362067344298,5.8,1,proxy:v1-sales-heuristic-2026-09
local service business,4.27,1869,1,1,1,1,0.9367888241595935,3.5,1,proxy:v1-sales-heuristic-2026-09
local service business,3.85,13,0,1,1,2,0.8648323387532835,2.6,0,proxy:v1-sales-heuristic-2026-09
legal services,4.06,125,0,0,0,4,0.8832026356093187,2.4,0,proxy:v1-sales-heuristic-2026-09
local service business,4.89,41,0,1,0,1,0.9790355061399737,1.7999999999999998,0,proxy:v1-sales-heuristic-2026-09
local service business,4.96,111,0,1,0,1,0.7817069421724641,1.7999999999999998,0,proxy:v1-sales-heuristic-2026-09
home services,3.7,32,0,1,0,2,0.9264307847007222,3.6,0,proxy:v1-sales-heuristic-2026-09
food & beverage,4.13,26,0,1,1,1,0.896211052263229,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,4.2,8,1,1,0,1,0.6785470348017997,5.6,1,proxy:v1-sales-heuristic-2026-09
fitness,3.61,24,0,1,0,3,0.8353451920066569,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.12,24,0,1,1,5,0.4969029654767682,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.15,5,0,1,0,3,0.6624054856464134,3.0,0,proxy:v1-sales-heuristic-2026-09
legal services,4.78,13,0,1,0,1,0.9196491933252908,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.81,17,1,1,0,3,0.824333419570726,5.8,1,proxy:v1-sales-heuristic-2026-09
local service business,3.97,38,0,1,0,1,0.8773631769982708,2.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.03,40,1,0,0,4,0.7292771019023866,5.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
automotive,4.52,12,1,0,0,2,0.9877018911661575,5.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
local service business,3.83,41,1,0,0,3,0.724938787081232,4.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
automotive,4.47,20,0,1,0,6,0.84189654033835,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.1,1,0,1,0,4,0.9047379226792347,3.0,0,proxy:v1-sales-heuristic-2026-09
health care,3.62,14,0,1,0,5,0.7879339330061472,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.62,80,0,1,1,3,0.6540345502366789,2.6,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.95,3,1,0,0,6,0.8852867037796142,4.0,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.06,27,1,1,0,5,0.8358672473081786,6.6,1,proxy:v1-sales-heuristic-2026-09
local service business,5.0,140,1,1,0,4,0.8712296468398424,4.8,1,proxy:v1-sales-heuristic-2026-09
local service business,3.87,10,0,0,0,4,0.685390123634469,1.4,0,proxy:v1-sales-heuristic-2026-09
home services,4.31,24,0,1,0,4,0.6017878243718751,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,5.0,5,0,1,0,1,0.5719963407451599,2.2,0,proxy:v1-sales-heuristic-2026-09
automotive,3.57,146,0,1,0,2,0.7508844277983022,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.11,22,1,1,1,5,0.9709331708955957,5.8,1,proxy:v1-sales-heuristic-2026-09
automotive,4.86,25,1,1,0,3,0.8260021438254802,5.8,1,proxy:v1-sales-heuristic-2026-09
fitness,3.7,108,0,1,0,5,0.6757295047461883,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.14,50,1,1,1,4,0.6040537959657053,6.6,1,proxy:v1-sales-heuristic-2026-09
home services,3.83,9,1,1,1,1,0.6459676194837656,6.6,1,proxy:v1-sales-heuristic-2026-09
pets,4.3,12,0,1,0,4,0.780006099003692,3.6,1,proxy:v1-sales-heuristic-2026-09
health care,3.63,42,0,1,0,4,0.7830989019797812,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.05,12,0,1,0,3,0.848468279372414,3.6,0,proxy:v1-sales-heuristic-2026-09
local service business,4.4,2,0,1,1,5,0.49824524349338134,2.0,0,proxy:v1-sales-heuristic-2026-09
pets,3.6,23,1,1,0,3,0.7549697269950141,6.6,1,proxy:v1-sales-heuristic-2026-09
legal services,3.76,4,0,1,1,1,0.37997475966087374,3.0,0,proxy:v1-sales-heuristic-2026-09
automotive,3.96,145,0,1,1,1,0.6203828947577135,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,3.36,29,0,1,0,6,0.6819358522805888,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.92,9,1,1,0,3,0.6222293330775689,5.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.22,11,0,1,0,3,0.9112291906979696,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,3.93,3,0,1,1,2,0.6558046332045885,3.0,0,proxy:v1-sales-heuristic-2026-09
home services,4.0,7,0,0,1,5,0.8587992661424768,1.8,0,proxy:v1-sales-heuristic-2026-09
fitness,4.14,75,0,0,0,4,0.467803252325195,2.4,0,proxy:v1-sales-heuristic-2026-09
local service business,3.79,285,0,1,1,6,0.7904380224330781,1.2,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.53,54,0,0,1,6,0.7698481903850176,2.4,0,proxy:v1-sales-heuristic-2026-09
local service business,4.94,22,0,1,1,6,0.5403699089935986,1.7999999999999998,0,proxy:v1-sales-heuristic-2026-09
automotive,3.89,15,0,1,1,2,0.9492570961306923,3.6,1,proxy:v1-sales-heuristic-2026-09
health care,4.42,8,0,0,0,4,0.7352161099513564,2.4,0,proxy:v1-sales-heuristic-2026-09
fitness,4.02,236,0,1,1,3,0.7327772614234908,3.6,1,proxy:v1-sales-heuristic-2026-09
automotive,4.35,2575,0,1,0,5,0.7723543316049074,1.5,0,proxy:v1-sales-heuristic-2026-09
automotive,5.0,251,1,1,0,5,0.7993898355502189,5.2,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.43,113,0,1,0,2,0.5308715168882799,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.17,3,0,1,0,6,0.5729695519392002,1.2,0,proxy:v1-sales-heuristic-2026-09
health care,4.4,11,1,1,0,2,0.8579887085757936,6.6,0,proxy:v1-sales-heuristic-2026-09
local service business,4.83,2604,0,1,0,6,0.7277665025637607,-1.1,0,proxy:v1-sales-heuristic-2026-09
local service business,4.03,22,1,1,1,6,0.9981815501743478,5.6,1,proxy:v1-sales-heuristic-2026-09
home services,4.7,22,1,1,0,1,0.6294261071432588,6.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.77,662,0,1,1,3,0.9315609663703722,1.2,0,proxy:v1-sales-heuristic-2026-09
automotive,3.33,1650,0,1,0,3,0.6896085521792711,1.5,0,proxy:v1-sales-heuristic-2026-09
automotive,4.23,3369,0,1,0,5,0.5032220717440947,1.5,0,proxy:v1-sales-heuristic-2026-09
local service business,3.18,48,0,1,1,5,0.7833532657130476,1.7999999999999998,0,proxy:v1-sales-heuristic-2026-09
local service business,4.02,24,1,1,1,1,0.9414545842740702,5.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.86,27,0,1,1,6,0.718417681364471,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
home services,3.1,7,0,1,1,2,0.8665607193566978,2.2,0,proxy:v1-sales-heuristic-2026-09
health care,3.45,27,0,1,0,3,0.9576338297232612,3.6,1,proxy:v1-sales-heuristic-2026-09
local service business,3.58,43,1,1,1,2,0.5247962536704511,5.6,1,proxy:v1-sales-heuristic-2026-09
health care,4.12,35,0,1,0,1,0.6624337006312497,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,3.95,45,0,1,0,4,0.8426973085178534,3.6,1,proxy:v1-sales-heuristic-2026-09
food & beverage,4.92,116,0,1,1,1,0.8475899216617837,2.8000000000000003,0,proxy:v1-sales-heuristic-2026-09
home services,4.67,734,0,1,1,1,0.6400674187280865,3.0,0,proxy:v1-sales-heuristic-2026-09
fitness,4.42,26,1,0,0,5,0.9052958838343526,5.3999999999999995,1,proxy:v1-sales-heuristic-2026-09
local service business,4.23,6,0,1,0,3,0.8251401283691061,2.0,0,proxy:v1-sales-heuristic-2026-09
home services,4.37,3201,0,1,0,4,0.8460842236434146,1.5,0,proxy:v1-sales-heuristic-2026-09
beauty & personal care,3.68,19,0,1,1,6,0.643185253447,3.6,1,proxy:v1-sales-heuristic-2026-09
beauty & personal care,4.62,32,0,1,0,1,0.6213168008925775,3.6,1,proxy:v1-sales-heuristic-2026-09
legal services,3.54,14,1,1,0,5,0.515613101574277,6.6,1,proxy:v1-sales-heuristic-2026-09
